tanggal,jumlah_meninggal.value,jumlah_sembuh.value,jumlah_positif.value,jumlah_dirawat.value,jumlah_positif_kum.value,jumlah_sembuh_kum.value,jumlah_meninggal_kum.value,jumlah_dirawat_kum.value
2020-03-18,14,2,55,39,227,11,19,197
2020-03-19,6,4,82,72,309,15,25,269
2020-03-20,7,2,60,51,369,17,32,320
2020-03-21,6,3,81,72,450,20,38,392
2020-03-22,10,9,64,45,514,29,48,437
2020-03-23,1,1,65,63,579,30,49,500
2020-03-24,6,0,106,100,685,30,55,600
2020-03-25,3,1,105,101,790,31,58,701
2020-03-26,20,4,103,79,893,35,78,780
2020-03-27,9,11,153,133,1046,46,87,913
2020-03-28,15,13,109,81,1155,59,102,994
2020-03-29,12,5,130,113,1285,64,114,1107
2020-03-30,8,11,129,110,1414,75,122,1217
2020-03-31,14,6,114,94,1528,81,136,1311
2020-04-01,21,22,149,106,1677,103,157,1417
2020-04-02,13,9,113,91,1790,112,170,1508
2020-04-03,11,22,196,163,1986,134,181,1671
2020-04-04,10,16,106,80,2092,150,191,1751
2020-04-05,7,14,181,160,2273,164,198,1911
2020-04-06,11,28,218,179,2491,192,209,2090
2020-04-07,12,12,247,223,2738,204,221,2313
2020-04-08,19,18,218,181,2956,222,240,2494
2020-04-09,40,30,337,267,3293,252,280,2761
2020-04-10,26,30,219,163,3512,282,306,2924
2020-04-11,21,4,330,305,3842,286,327,3229
2020-04-12,46,73,399,280,4241,359,373,3509
2020-04-13,26,21,316,269,4557,380,399,3778
2020-04-14,60,46,282,176,4839,426,459,3954
2020-04-15,10,20,297,267,5136,446,469,4221
2020-04-16,27,102,380,251,5516,548,496,4472
2020-04-17,24,59,407,324,5923,607,520,4796
2020-04-18,15,24,325,286,6248,631,535,5082
2020-04-19,47,55,327,225,6575,686,582,5307
2020-04-20,8,61,185,116,6760,747,590,5423
2020-04-21,26,95,375,254,7135,842,616,5677
2020-04-22,19,71,283,193,7418,913,635,5870
2020-04-23,12,47,357,298,7775,960,647,6168
2020-04-24,42,42,436,352,8211,1002,689,6520
2020-04-25,31,40,396,325,8607,1042,720,6845
2020-04-26,23,65,275,187,8882,1107,743,7032
2020-04-27,22,44,214,148,9096,1151,765,7180
2020-04-28,8,103,415,304,9511,1254,773,7484
2020-04-29,11,137,260,112,9771,1391,784,7596
2020-04-30,8,131,347,208,10118,1522,792,7804
2020-05-01,8,69,433,356,10551,1591,800,8160
2020-05-02,31,74,292,187,10843,1665,831,8347
2020-05-03,14,211,349,124,11192,1876,845,8471
2020-05-04,19,78,395,298,11587,1954,864,8769
2020-05-05,8,243,484,233,12071,2197,872,9002
2020-05-06,23,120,367,224,12438,2317,895,9226
2020-05-07,35,64,338,239,12776,2381,930,9465
2020-05-08,13,113,336,210,13112,2494,943,9675
2020-05-09,16,113,533,404,13645,2607,959,10079
2020-05-10,14,91,387,282,14032,2698,973,10361
2020-05-11,18,183,233,32,14265,2881,991,10393
2020-05-12,16,182,484,286,14749,3063,1007,10679
2020-05-13,21,224,689,444,15438,3287,1028,11123
2020-05-14,15,231,568,322,16006,3518,1043,11445
2020-05-15,33,285,490,172,16496,3803,1076,11617
2020-05-16,13,108,529,408,17025,3911,1089,12025
2020-05-17,59,218,489,212,17514,4129,1148,12237
2020-05-18,43,195,496,258,18010,4324,1191,12495
2020-05-19,30,143,486,313,18496,4467,1221,12808
2020-05-20,21,108,693,564,19189,4575,1242,13372
2020-05-21,36,263,973,674,20162,4838,1278,14046
2020-05-22,48,219,634,367,20796,5057,1326,14413
2020-05-23,25,192,949,732,21745,5249,1351,15145
2020-05-24,21,153,526,352,22271,5402,1372,15497
2020-05-25,19,240,479,220,22750,5642,1391,15717
2020-05-26,27,235,415,153,23165,5877,1418,15870
2020-05-27,55,180,686,451,23851,6057,1473,16321
2020-05-28,23,183,687,481,24538,6240,1496,16802
2020-05-29,24,252,678,402,25216,6492,1520,17204
2020-05-30,53,523,557,-19,25773,7015,1573,17185
2020-05-31,40,293,700,367,26473,7308,1613,17552
2020-06-01,28,329,467,110,26940,7637,1641,17662
2020-06-02,22,298,609,289,27549,7935,1663,17951
2020-06-03,35,471,684,178,28233,8406,1698,18129
2020-06-04,23,486,585,76,28818,8892,1721,18205
2020-06-05,49,551,703,103,29521,9443,1770,18308
2020-06-06,31,464,993,498,30514,9907,1801,18806
2020-06-07,50,591,672,31,31186,10498,1851,18837
2020-06-08,32,406,847,409,32033,10904,1883,19246
2020-06-09,40,510,1042,492,33075,11414,1923,19738
2020-06-10,36,715,1241,490,34316,12129,1959,20228
2020-06-11,41,507,979,431,35295,12636,2000,20659
2020-06-12,48,577,1111,486,36406,13213,2048,21145
2020-06-13,43,563,1014,408,37420,13776,2091,21553
2020-06-14,43,755,857,59,38277,14531,2134,21612
2020-06-15,64,592,1017,361,39294,15123,2198,21973
2020-06-16,33,580,1106,493,40400,15703,2231,22466
2020-06-17,45,540,1031,446,41431,16243,2276,22912
2020-06-18,63,555,1331,713,42762,16798,2339,23625
2020-06-19,34,551,1041,456,43803,17349,2373,24081
2020-06-20,56,534,1226,636,45029,17883,2429,24717
2020-06-21,36,521,862,305,45891,18404,2465,25022
2020-06-22,35,331,954,588,46845,18735,2500,25610
2020-06-23,35,506,1051,510,47896,19241,2535,26120
2020-06-24,38,417,1113,658,49009,19658,2573,26778
2020-06-25,47,791,1178,340,50187,20449,2620,27118
2020-06-26,63,884,1240,293,51427,21333,2683,27411
2020-06-27,37,576,1385,772,52812,21909,2720,28183
2020-06-28,34,1027,1198,137,54010,22936,2754,28320
2020-06-29,51,864,1082,167,55092,23800,2805,28487
2020-06-30,71,1006,1293,216,56385,24806,2876,28703
2020-07-01,58,789,1385,538,57770,25595,2934,29241
2020-07-02,53,1072,1624,499,59394,26667,2987,29740
2020-07-03,49,901,1301,351,60695,27568,3036,30091
2020-07-04,53,651,1447,743,62142,28219,3089,30834
2020-07-05,82,886,1607,639,63749,29105,3171,31473
2020-07-06,70,814,1209,325,64958,29919,3241,31798
2020-07-07,68,866,1268,334,66226,30785,3309,32132
2020-07-08,50,800,1853,1003,68079,31585,3359,33135
2020-07-09,58,1066,2657,1533,70736,32651,3417,34668
2020-07-10,52,878,1611,681,72347,33529,3469,35349
2020-07-11,66,1190,1671,415,74018,34719,3535,35764
2020-07-12,71,919,1681,691,75699,35638,3606,36455
2020-07-13,50,1051,1282,181,76981,36689,3656,36636
2020-07-14,54,947,1591,590,78572,37636,3710,37226
2020-07-15,87,1414,1522,21,80094,39050,3797,37247
2020-07-16,76,1295,1574,203,81668,40345,3873,37450
2020-07-17,84,1489,1462,-111,83130,41834,3957,37339
2020-07-18,59,1434,1752,259,84882,43268,4016,37598
2020-07-19,127,2133,1639,-621,86521,45401,4143,36977
2020-07-20,96,1576,1693,21,88214,46977,4239,36998
2020-07-21,81,1489,1655,85,89869,48466,4320,37083
2020-07-22,139,1789,1882,-46,91751,50255,4459,37037
2020-07-23,117,1909,1906,-120,93657,52164,4576,36917
2020-07-24,89,1781,1761,-109,95418,53945,4665,36808
2020-07-25,49,1409,1868,410,97286,55354,4714,37218
2020-07-26,67,1301,1492,124,98778,56655,4781,37342
2020-07-27,57,1518,1525,-50,100303,58173,4838,37292
2020-07-28,63,2366,1748,-681,102051,60539,4901,36611
2020-07-29,74,1599,2381,708,104432,62138,4975,37319
2020-07-30,83,2154,1904,-333,106336,64292,5058,36986
2020-07-31,73,1615,2040,352,108376,65907,5131,37338
2020-08-01,62,2012,1560,-514,109936,67919,5193,36824
2020-08-02,43,1056,1519,420,111455,68975,5236,37244
2020-08-03,66,1262,1679,351,113134,70237,5302,37595
2020-08-04,86,1813,1922,23,115056,72050,5388,37618
2020-08-05,64,1839,1815,-88,116871,73889,5452,37530
2020-08-06,69,1756,1882,57,118753,75645,5521,37587
2020-08-07,72,1912,2473,489,121226,77557,5593,38076
2020-08-08,65,1749,2277,463,123503,79306,5658,38539
2020-08-09,65,1646,1893,182,125396,80952,5723,38721
